Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
Appleton Public Montessori,Appleton Area,0147,06,0145,Elementary School,K4,06,Cassie  Guilbeault,Principal,1545 E Broadway Dr  Grand Chute WI  54915,"1545 E Broadway Dr Grand Chute WI  54915  ",Grand Chute,54915,,"1545 E Broadway Dr Grand Chute WI  54915  ",Grand Chute,44,Outagamie,920-832-6325,N/A,9208326322,guilbeaultcass@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5500390,02583,Public school
Appleton Technical Acad,Appleton Area,0147,06,0490,High School,09,12,Mark  McQuade,Principal,610 N Badger Ave  Appleton WI  54914-4198,"610 N Badger Ave Appleton WI  54914-4198  ",Appleton,54914,4198,"610 N Badger Ave Appleton WI  54914-4198  ",Appleton,44,Outagamie,920-832-6234,N/A,9208324198,mcquademark@aasd.k12.wi.us,www.aasd.k12.wi.us,Vocational,Charter,Primarily Classroom (Supplemental Virtual),5500390,02964,Public school
Appleview,Appleton Area,0147,06,0820,Combined Elementary/Secondary School,K4,12,Kevin  Steinhilber,Principal,120 E Harris St  Appleton WI  54911-5403,"PO Box 2019 Appleton WI  54912-2019  ",Appleton,54912,2019,"120 E Harris St Appleton WI  54911-5403  ",Appleton,44,Outagamie,920-993-7062,N/A,9208321730,helpdesk@aasd.k12.wi.us,www.aasd.k12.wi.us,Special Education,No,Primarily Classroom (Supplemental Virtual),5500390,03021,Public school
Arbor Vitae-Woodruff El,Woodruff J1,6720,09,0020,Elementary School,K4,08,Richard  Fortier,Principal,11065 Old Highway 51 N  Arbor Vitae WI  54568-9721,"11065 Old Highway 51 N Arbor Vitae WI  54568-9721  ",Arbor Vitae,54568,9721,"11065 Old Highway 51 N Arbor Vitae WI  54568-9721  ",Arbor Vitae,63,Vilas,715-356-3282,N/A,7153582933,rich.fortier@avwschool.org,www.avwschool.org,Regular,No,Primarily Classroom (Supplemental Virtual),5517160,02227,Public school
Arboretum El,Waunakee Community,6181,02,0110,Elementary School,PK,04,Sheila  Weihert,Principal,1350 Arboretum Dr  Waunakee WI  53597,"1350 Arboretum Dr Waunakee WI  53597  ",Waunakee,53597,,"1350 Arboretum Dr Waunakee WI  53597  ",Waunakee,13,Dane,608-849-1800,N/A,6088491810,sweihert@waunakee.k12.wi.us,www.waunakee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515810,02648,Public school
Arcadia El,Arcadia,0154,04,0190,Elementary School,K4,04,Paul  Halverson,Principal,358 E River St  Arcadia WI  54612-1344,"358 E River St Arcadia WI  54612-1344  ",Arcadia,54612,1344,"358 E River St Arcadia WI  54612-1344  ",Arcadia,61,Trempealeau,608-323-7500,2193,6083237015,halversonp@arcadia.k12.wi.us,www.arcadia.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500420,03040,Public school
Arcadia Hi,Arcadia,0154,04,0040,High School,09,12,Alan  Herman,Principal,756 Raider Dr  Arcadia WI  54612-9025,"756 Raider Dr Arcadia WI  54612-9025  ",Arcadia,54612,9025,"756 Raider Dr Arcadia WI  54612-9025  ",Arcadia,61,Trempealeau,608-323-3315,3131,6083238181,hermana@arcadia.k12.wi.us,www.arcadia.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500420,00068,Public school
Arcadia Mid,Arcadia,0154,04,0290,Middle School,05,08,Michele  Butler,Principal,725 Fairfield Ave  Arcadia WI  54612-1908,"725 Fairfield Ave Arcadia WI  54612-1908  ",Arcadia,54612,1908,"725 Fairfield Ave Arcadia WI  54612-1908  ",Arcadia,61,Trempealeau,608-323-3315,2127,6083233188,butlerm@arcadia.k12.wi.us,www.arcadia.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500420,03041,Public school
Argyle El,Argyle,0161,03,0020,Elementary School,K4,05,Michael  Beranek,Principal,14665 State Road 78  Argyle WI  53504,"PO Box 256 Argyle WI  53504-0256  ",Argyle,53504,0256,"14665 State Road 78 Argyle WI  53504  ",Argyle,33,Lafayette,608-543-3318,304,6085433868,miberanek@argyle.k12.wi.us,www.argyle.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500450,00069,Public school
Argyle Hi,Argyle,0161,03,0040,High School,09,12,Michael  Beranek,Principal,14665 State Road 78  Argyle WI  53504,"PO Box 256 Argyle WI  53504-0256  ",Argyle,53504,0256,"14665 State Road 78 Argyle WI  53504  ",Argyle,33,Lafayette,608-543-3318,304,6085433868,miberanek@argyle.k12.wi.us,www.argyle.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500450,00070,Public school
Argyle Mid,Argyle,0161,03,0250,Middle School,06,08,Michael  Beranek,Principal,14665 State Road 78  Argyle WI  53504,"PO Box 256 Argyle WI  53504-0256  ",Argyle,53504,0256,"14665 State Road 78 Argyle WI  53504  ",Argyle,33,Lafayette,608-543-3318,304,6085433868,miberanek@argyle.k12.wi.us,www.argyle.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500450,03073,Public school
ARISE Virtual Acad,Janesville,2695,02,0860,Combined Elementary/Secondary School,KG,12,David  Parr,Principal,450 N Crosby Ave  Janesville WI  53548-3340,"450 N Crosby Ave Janesville WI  53548-3340  ",Janesville,53548,3340,"450 N Crosby Ave Janesville WI  53548-3340  ",Janesville,53,Rock,608-743-6110,N/A,6087417307,dparr@janesville.k12.wi.us,www.janesville.k12.wi.us,Regular,Charter,Exclusively Virtual,5507020,02991,Public school
Arlington El,Poynette,4536,05,0020,Elementary School,PK,KG,Jay  Hausser,Principal,307 Bullen Rd  Arlington WI  53911,"PO Box 10 Poynette WI  53955-0010  ",Poynette,53955,0010,"108 N Cleveland St Poynette WI  53955-8913  ",Arlington,11,Columbia,608-635-4347,100,6086359470,jhaus@poynette.k12.wi.us,www.poynette.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512120,01577,Public school
Arrowhead Hi,Arrowhead UHS,2450,01,0020,High School,09,12,Gregg  Wieczorek,Principal,700 North Ave  Hartland WI  53029-1143,"700 North Ave Hartland WI  53029-1143  ",Hartland,53029,1143,"700 North Ave Hartland WI  53029-1143  ",Hartland,67,Waukesha,262-369-3611,4102,2623674693,wieczorek@arrowheadschools.org,www.arrowheadschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506180,00678,Public school
Asa Clark Mid,Pewaukee,4312,01,0100,Middle School,07,08,Randolph  Daul,Principal,472 Lake St  Pewaukee WI  53072-3630,"472 Lake St Pewaukee WI  53072-3630  ",Pewaukee,53072,3630,"472 Lake St Pewaukee WI  53072-3630  ",Pewaukee,67,Waukesha,262-695-5067,N/A,2626955004,daulran@pewaukeeschools.org,www.pewaukeeschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5511640,01538,Public school
Ashland Hi,Ashland,0170,12,0020,High School,09,12,Brian  Trettin,Principal,1900 Beaser Ave  Ashland WI  54806-3603,"1900 Beaser Ave Ashland WI  54806-3603  ",Ashland,54806,3603,"1900 Beaser Ave Ashland WI  54806-3603  ",Ashland,02,Ashland,715-682-7089,N/A,7156822075,btrettin@sdak12.net,www.ashland.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500510,00073,Public school
Ashland Mid,Ashland,0170,12,0030,Middle School,06,08,Jake  Levings,Principal,203 11th St E  Ashland WI  54806-3245,"203 11th St E Ashland WI  54806-3245  ",Ashland,54806,3245,"203 11th St E Ashland WI  54806-3245  ",Ashland,02,Ashland,715-682-7087,N/A,7156827944,jlevings@sdak12.net,www.ashland.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500510,00074,Public school
Ashwaubenon Hi,Ashwaubenon,0182,07,0020,High School,09,12,Brian  Nelsen,Principal,2391 S Ridge Rd  Green Bay WI  54304-5093,"2391 S Ridge Rd Green Bay WI  54304-5093  ",Green Bay,54304,5093,"2391 S Ridge Rd Green Bay WI  54304-5093  ",Green Bay,05,Brown,920-492-2955,5334,9204922912,bnelsen@ashwaubenonk12.org,www.ashwaubenon.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500540,00081,Public school
ASSATA,Milwaukee,3619,01,1063,High School,09,12,Carlotta  Pritchett,School Leader,3517 W Courtland Ave  Milwaukee WI  53209-5919,"3517 W Courtland Ave Milwaukee WI  53209-5919  ",Milwaukee,53209,5919,"3517 W Courtland Ave Milwaukee WI  53209-5919  ",Milwaukee,40,Milwaukee,414-345-6113,N/A,4143459893,418@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600,00792,Public school
Athens El,Athens,0196,09,0020,Elementary School,K4,05,Joy  Redmann,Principal,209 N Schlegel St  Athens WI  54411,"PO Box 190 Athens WI  54411-0190  ",Athens,54411,0190,"209 N Schlegel St Athens WI  54411  ",Athens,37,Marathon,715-257-7571,201,7152579026,jredmann@athens1.org,www.athens1.org,Regular,No,No,5500570,00086,Public school
Athens Hi,Athens,0196,09,0040,High School,09,12,Juli  Gauerke,Principal,601 W Village Limits Rd  Athens WI  54411-9552,"PO Box F Athens WI  54411-0906  ",Athens,54411,0906,"601 W Village Limits Rd Athens WI  54411-9552  ",Athens,37,Marathon,715-257-7511,103,7152577651,jgauerke@athens1.org,www.athens1.org,Regular,No,Primarily Classroom (Supplemental Virtual),5500570,00087,Public school
Athens Mid,Athens,0196,09,0060,Middle School,06,08,Juli  Gauerke,Principal,601 W Village Limits Rd  Athens WI  54411-9552,"PO Box F Athens WI  54411-0906  ",Athens,54411,0906,"601 W Village Limits Rd Athens WI  54411-9552  ",Athens,37,Marathon,715-257-7511,103,7152577651,jgauerke@athens1.org,www.athens1.org,Regular,No,No,5500570,00088,Public school
Atwater El,Shorewood,5355,01,0020,Elementary School,K4,06,Kayla  Russick,Principal,2100 E Capitol Dr  Shorewood WI  53211-2198,"2100 E Capitol Dr Shorewood WI  53211-2198  ",Shorewood,53211,2198,"2100 E Capitol Dr Shorewood WI  53211-2198  ",Shorewood,40,Milwaukee,414-963-6962,N/A,4149636970,krussick@shorewood.k12.wi.us,www.shorewoodschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5513800,01809,Public school
Auburndale El,Auburndale,0203,05,0040,Elementary School,K4,05,Andrew T Scharenbroch,Principal,10564 School Ave  Auburndale WI  54412,"PO Box 139 Auburndale WI  54412  ",Auburndale,54412,,"10564 School Ave Auburndale WI  54412  ",Auburndale,71,Wood,715-652-2812,1522,7156522836,ascharenbroch@aubschools.com,www.aubschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5500600,00090,Public school
Auburndale Hi,Auburndale,0203,05,0060,High School,06,12,James  Delikowski,Principal,10629 North Rd  Auburndale WI  54412,"PO Box 139 Auburndale WI  54412  ",Auburndale,54412,,"10629 North Rd Auburndale WI  54412  ",Auburndale,71,Wood,715-652-2115,2103,7156526322,jdelikowski@aubschools.com,www.aubschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5500600,00091,Public school
Audubon Hi,Milwaukee,3619,01,0434,High School,09,12,Leon  Groce,Principal,3300 S 39th St  Milwaukee WI  53215-4019,"3300 S 39th St Milwaukee WI  53215-4019  ",Milwaukee,53215,4019,"3300 S 39th St Milwaukee WI  53215-4019  ",Milwaukee,40,Milwaukee,414-902-7800,N/A,4149027815,090@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,02782,Public school
Audubon Mid,Milwaukee,3619,01,0041,Middle School,06,08,Leon  Groce,Principal,3300 S 39th St  Milwaukee WI  53215-4019,"3300 S 39th St Milwaukee WI  53215-4019  ",Milwaukee,53215,4019,"3300 S 39th St Milwaukee WI  53215-4019  ",Milwaukee,40,Milwaukee,414-902-7800,N/A,4149027815,041@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01123,Public school
Auer Avenue El,Milwaukee,3619,01,0077,Elementary School,K3,08,Zannetta  Walker,Principal,2319 W Auer Ave  Milwaukee WI  53206-1735,"2319 W Auer Ave Milwaukee WI  53206-1735  ",Milwaukee,53206,1735,"2319 W Auer Ave Milwaukee WI  53206-1735  ",Milwaukee,40,Milwaukee,414-875-4500,N/A,4148754515,077@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01124,Public school
Augusta El,Augusta,0217,10,0020,Elementary School,K4,05,Nicole  Steinmetz,Principal,E19320 Bartig Rd  Augusta WI  54722-7501,"E19320 Bartig Rd Augusta WI  54722-7501  ",Augusta,54722,7501,"E19320 Bartig Rd Augusta WI  54722-7501  ",Augusta,18,Eau Claire,715-286-2291,3319,7152863335,nsteinmetz@augusta.k12.wi.us,www.augusta.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500630,00092,Public school
Augusta Hi,Augusta,0217,10,0040,High School,09,12,Ken  Abel,Principal,E19320 Bartig Rd  Augusta WI  54722-7501,"E19320 Bartig Rd Augusta WI  54722-7501  ",Augusta,54722,7501,"E19320 Bartig Rd Augusta WI  54722-7501  ",Augusta,18,Eau Claire,715-286-2291,3350,7152863393,kabel@augusta.k12.wi.us,www.augusta.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500630,00093,Public school
Augusta Mid,Augusta,0217,10,0200,Middle School,06,08,Ken  Abel,Principal,E19320 Bartig Rd  Augusta WI  54722-7501,"E19320 Bartig Rd Augusta WI  54722-7501  ",Augusta,54722,7501,"E19320 Bartig Rd Augusta WI  54722-7501  ",Augusta,18,Eau Claire,715-286-2291,3350,7152863393,kabel@augusta.k12.wi.us,www.augusta.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500630,02585,Public school
BA Kennedy Sch,Prairie du Chien Area,4543,03,0010,Elementary School,K4,01,Laura  Stuckey,Principal,420 Wacouta Ave  Prairie du Chien WI  53821-1924,"420 Wacouta Ave Prairie du Chien WI  53821-1924  ",Prairie du Chien,53821,1924,"420 Wacouta Ave Prairie du Chien WI  53821-1924  ",Prairie du Chien,12,Crawford,608-326-3704,N/A,6083263707,stuckeyla@pdc.k12.wi.us,www.pdc.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512150,02508,Public school
Badger El,Appleton Area,0147,06,0060,Elementary School,PK,06,Tim  Hopfensperger,Principal,501 S Bluemound Dr  Appleton WI  54914-4134,"501 S Bluemound Dr Appleton WI  54914-4134  ",Appleton,54914,4134,"501 S Bluemound Dr Appleton WI  54914-4134  ",Appleton,44,Outagamie,920-832-6264,N/A,9208326149,hopfenspergert@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390,00049,Public school
Badger Hi,Lake Geneva-Genoa City UHS,2884,02,0020,High School,09,12,Russ  Tronsen,Principal,220 E South St  Lake Geneva WI  53147-2499,"220 E South St Lake Geneva WI  53147-2499  ",Lake Geneva,53147,2499,"220 E South St Lake Geneva WI  53147-2499  ",Lake Geneva,64,Walworth,262-348-2000,2050,2622486178,russ.tronsen@badger.k12.wi.us,lakegenevaschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5507650,00884,Public school
Badger Mid,West Bend,6307,06,0010,Middle School,07,08,Dave  Uelmen,Principal,727 S 6th Ave  West Bend WI  53095-3968,"727 S 6th Ave West Bend WI  53095-3968  ",West Bend,53095,3968,"727 S 6th Ave West Bend WI  53095-3968  ",West Bend,66,Washington,262-335-5456,N/A,2623064380,duelmen@wbsd-schools.org,www.west-bend.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5516290,02125,Public school
Badger Ridge Mid,Verona Area,5901,02,0120,Middle School,06,08,Alan  Buss,Principal,740 N Main St  Verona WI  53593-1153,"740 N Main St Verona WI  53593-1153  ",Verona,53593,1153,"740 N Main St Verona WI  53593-1153  ",Verona,13,Dane,608-845-4110,N/A,6088454120,bussar@verona.k12.wi.us,www.verona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515330,01973,Public school
Badger Rock Mid,Madison Metropolitan,3269,02,0200,Middle School,06,08,Tim  Bubon,School Administrator,501 E Badger Rd  Madison WI  53713,"545 W Dayton St Madison WI  53703-1967  ",Madison,53703,1967,"545 W Dayton St Madison WI  53703-1967  ",Madison,13,Dane,608-442-2990,N/A,6084421347,tdbubon@madison.k12.wi.us,www.madison.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5508520,02866,Public school
Baird El,Green Bay Area Public,2289,07,0030,Elementary School,K4,05,Michael  Sheean,Principal,539 Laverne Dr  Green Bay WI  54311-5720,"539 Laverne Dr Green Bay WI  54311-5720  ",Green Bay,54311,5720,"539 Laverne Dr Green Bay WI  54311-5720  ",Green Bay,05,Brown,920-391-2410,N/A,9203912532,msheean@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,00611,Public school
Baldwin-Woodville Hi,Baldwin-Woodville Area,0231,11,0040,High School,09,12,David  Brandvold,Principal,1000 13th Ave  Baldwin WI  54002,"1000 13th Ave Baldwin WI  54002  ",Baldwin,54002,,"1000 13th Ave Baldwin WI  54002  ",Baldwin,55,Saint Croix,715-684-3321,4102,7156845160,dbrandvold@bwsd.k12.wi.us,www.bwsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500720,00094,Public school
Bangor El,Bangor,0245,04,0020,Elementary School,K4,05,Jacquelyn  Lyga,Principal,701 14th Ave S  Bangor WI  54614,"PO Box 99 Bangor WI  54614-0099  ",Bangor,54614,0099,"701 14th Ave S Bangor WI  54614  ",Bangor,32,La Crosse,608-486-5206,N/A,6084864045,jlyga@bangorsd.net,www.bangor.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500780,00100,Public school
Bangor Mid/Hi,Bangor,0245,04,0040,High School,06,12,Don  Addington,Principal,700 10th Ave S  Bangor WI  54614,"PO Box 99 Bangor WI  54614-0099  ",Bangor,54614,0099,"700 10th Ave S Bangor WI  54614  ",Bangor,32,La Crosse,608-486-5201,N/A,6084864587,daddington@bangorsd.net,www.bangor.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500780,00101,Public school
Bannach El,Stevens Point Area Public,5607,05,0050,Elementary School,PK,06,Jessica  Champion,Principal,5400 Walter St  Stevens Point WI  54481-9280,"5400 Walter St Stevens Point WI  54481-9280  ",Stevens Point,54481,9280,"5400 Walter St Stevens Point WI  54481-9280  ",Stevens Point,49,Portage,715-345-5668,N/A,7153457346,jchampio@pointschools.net,www.pointschools.net,Regular,No,Primarily Classroom (Supplemental Virtual),5514490,02452,Public school
Banner Prep,Milwaukee,3619,01,0432,High School,09,12,Willie  Maryland,Contact Person,3517 W Courtland Ave  Milwaukee WI  53209-5919,"3517 W Courtland Ave Milwaukee WI  53209-5919  ",Milwaukee,53209,5919,"3517 W Courtland Ave Milwaukee WI  53209-5919  ",Milwaukee,40,Milwaukee,414-461-9561,N/A,4144619846,427@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600,02707,Public school
Banta Sch,Menasha Joint,3430,06,0160,Elementary School,KG,05,Gina  Cornu-Zacharias,Principal,328 Sixth St  Menasha WI  54952,"328 Sixth St Menasha WI  54952  ",Menasha,54952,,"328 Sixth St Menasha WI  54952  ",Menasha,70,Winnebago,920-967-1441,N/A,9209671455,cornuzachariasg@mjsd.k12.wi.us,www.mjsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509030,00659,Public school
Banting El,Waukesha,6174,01,0020,Elementary School,K4,05,Mary  Garcia-Velez,Principal,2019 Butler Dr  Waukesha WI  53186-2634,"2019 Butler Dr Waukesha WI  53186-2634  ",Waukesha,53186,2634,"2019 Butler Dr Waukesha WI  53186-2634  ",Waukesha,67,Waukesha,262-970-1210,N/A,2629701220,mgarcia-ve@waukesha.k12.wi.us,www.waukesha.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515780,02004,Public school
Baraboo Hi,Baraboo,0280,05,0040,High School,09,12,Glenn H Bildsten,Principal,1201 Draper St  Baraboo WI  53913-1299,"1201 Draper St Baraboo WI  53913-1299  ",Baraboo,53913,1299,"1201 Draper St Baraboo WI  53913-1299  ",Baraboo,56,Sauk,608-355-3940,N/A,6083553962,gbildsten@barabooschools.net,www.baraboo.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500810,00103,Public school
Barbee El,Milwaukee,3619,01,0188,Elementary School,K3,06,Catherine  Loss,Principal,4456 N Teutonia Ave  Milwaukee WI  53209-6225,"4456 N Teutonia Ave Milwaukee WI  53209-6225  ",Milwaukee,53209,6225,"4456 N Teutonia Ave Milwaukee WI  53209-6225  ",Milwaukee,40,Milwaukee,414-874-5600,N/A,4148745615,188@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01170,Public school
Barlow Park El,Ripon Area,4872,06,0110,Elementary School,K4,02,Tanya  Sanderfoot,Principal,100 Ringstad Dr  Ripon WI  54971,"PO Box 991 Ripon WI  54971-0991  ",Ripon,54971,0991,"100 Ringstad Dr Ripon WI  54971  ",Ripon,20,Fond du Lac,920-748-1550,1851,9207481552,sanderfoott@ripon.k12.wi.us,www.ripon.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513020,01893,Public school
Barneveld El,Barneveld,0287,03,0020,Elementary School,K4,05,Erin  Eslinger,Principal,304 S Jones St  Barneveld WI  53507,"304 S Jones St Barneveld WI  53507  ",Barneveld,53507,,"304 S Jones St Barneveld WI  53507  ",Barneveld,25,Iowa,608-924-4711,225,6089241646,eeslinger@barneveld.k12.wi.us,www.barneveld.k12.wi.us,Regular,No,No,5500840,00111,Public school
